Name,Gender,Count,Year
Emma,F,20936,2014
Olivia,F,19807,2014
Sophia,F,18609,2014
Isabella,F,17089,2014
Ava,F,15696,2014
Mia,F,13512,2014
Emily,F,12647,2014
Abigail,F,12085,2014
Madison,F,10320,2014
Charlotte,F,10115,2014
Harper,F,9608,2014
Sofia,F,9597,2014
Avery,F,9568,2014
Elizabeth,F,9564,2014
Amelia,F,8795,2014
Evelyn,F,8747,2014
Ella,F,8553,2014
Chloe,F,8538,2014
Victoria,F,7996,2014
Grace,F,7641,2014
Aubrey,F,7623,2014
Zoey,F,7411,2014
Natalie,F,7105,2014
Addison,F,6988,2014
Lillian,F,6913,2014
Brooklyn,F,6816,2014
Lily,F,6773,2014
Hannah,F,6585,2014
Layla,F,6453,2014
Scarlett,F,6005,2014
Aria,F,5923,2014
Zoe,F,5877,2014
Samantha,F,5726,2014
Anna,F,5689,2014
Leah,F,5604,2014
Audrey,F,5563,2014
Ariana,F,5495,2014
Savannah,F,5473,2014
Allison,F,5472,2014
Arianna,F,5267,2014
Camila,F,5218,2014
Gabriella,F,5098,2014
Penelope,F,5084,2014
Claire,F,5014,2014
Aaliyah,F,4883,2014
Sadie,F,4860,2014
Riley,F,4794,2014
Skylar,F,4770,2014
Nora,F,4738,2014
Sarah,F,4703,2014
Hailey,F,4615,2014
Kaylee,F,4539,2014
Paisley,F,4494,2014
Kennedy,F,4489,2014
Ellie,F,4480,2014
Peyton,F,4447,2014
Annabelle,F,4355,2014
Caroline,F,4344,2014
Serenity,F,4330,2014
Madelyn,F,4309,2014
Lucy,F,4295,2014
Aubree,F,4271,2014
Alexa,F,4246,2014
Nevaeh,F,4239,2014
Alexis,F,4234,2014
Stella,F,4198,2014
Violet,F,4184,2014
Genesis,F,4163,2014
Mackenzie,F,4150,2014
Bella,F,4087,2014
Autumn,F,4066,2014
Mila,F,4056,2014
Kylie,F,3957,2014
Maya,F,3949,2014
Piper,F,3866,2014
Alyssa,F,3829,2014
Taylor,F,3809,2014
Eleanor,F,3736,2014
Faith,F,3719,2014
Naomi,F,3708,2014
Melanie,F,3696,2014
Eva,F,3682,2014
Katherine,F,3678,2014
Lydia,F,3640,2014
Brianna,F,3608,2014
Julia,F,3599,2014
Ashley,F,3556,2014
Khloe,F,3544,2014
Madeline,F,3442,2014
Ruby,F,3423,2014
Sophie,F,3388,2014
Alexandra,F,3311,2014
London,F,3286,2014
Lauren,F,3090,2014
Gianna,F,3078,2014
Isabelle,F,3075,2014
Vivian,F,3062,2014
Alice,F,3052,2014
Jasmine,F,3024,2014
Hadley,F,3013,2014
Kayla,F,3007,2014
Morgan,F,3001,2014
Cora,F,2964,2014
Bailey,F,2942,2014
Hazel,F,2904,2014
Reagan,F,2900,2014
Kimberly,F,2899,2014
Clara,F,2854,2014
Sydney,F,2852,2014
Trinity,F,2805,2014
Natalia,F,2796,2014
Valentina,F,2779,2014
Rylee,F,2772,2014
Maria,F,2769,2014
Jocelyn,F,2759,2014
Eliana,F,2741,2014
Aurora,F,2740,2014
Brielle,F,2651,2014
Liliana,F,2637,2014
Mary,F,2632,2014
Elena,F,2612,2014
Molly,F,2601,2014
Makayla,F,2584,2014
Lilly,F,2569,2014
Andrea,F,2557,2014
Quinn,F,2550,2014
Jordyn,F,2548,2014
Nicole,F,2533,2014
Adalynn,F,2521,2014
Delilah,F,2511,2014
Kinsley,F,2442,2014
Kendall,F,2440,2014
Ariel,F,2438,2014
Payton,F,2411,2014
Paige,F,2409,2014
Mariah,F,2402,2014
Mya,F,2402,2014
Willow,F,2400,2014
Brooke,F,2389,2014
Jade,F,2388,2014
Lyla,F,2380,2014
Ximena,F,2339,2014
Luna,F,2337,2014
Isabel,F,2327,2014
Mckenzie,F,2321,2014
Ivy,F,2287,2014
Josephine,F,2283,2014
Amy,F,2192,2014
Laila,F,2144,2014
Isla,F,2133,2014
