State,Gender,Year,Name,Count
AK,F,2017,Emma,57
AK,F,2017,Olivia,56
AK,F,2017,Aurora,40
AK,F,2017,Isabella,39
AK,F,2017,Sophia,35
AK,F,2017,Evelyn,34
AK,F,2017,Amelia,33
AK,F,2017,Ava,33
AK,F,2017,Abigail,31
AK,M,2017,James,47
AK,M,2017,Liam,46
AK,M,2017,Wyatt,40
AK,M,2017,Oliver,38
AK,M,2017,William,38
AK,M,2017,Noah,37
AK,M,2017,Logan,36
AK,M,2017,Elijah,34
AK,M,2017,Benjamin,33
AK,M,2017,Mason,33
AK,M,2017,Samuel,33
AK,M,2017,Ethan,32
AK,M,2017,Henry,32
AK,M,2017,Ezekiel,31
AK,M,2017,Lucas,31
AK,M,2017,Michael,31
AL,F,2017,Ava,359
AL,F,2017,Olivia,300
AL,F,2017,Emma,241
AL,F,2017,Harper,192
AL,F,2017,Amelia,191
AL,F,2017,Elizabeth,189
AL,F,2017,Charlotte,157
AL,F,2017,Avery,151
AL,F,2017,Ella,145
AL,F,2017,Evelyn,144
AL,F,2017,Isabella,144
AL,F,2017,Abigail,142
AL,F,2017,Madison,135
AL,F,2017,Sophia,135
AL,F,2017,Paisley,133
AL,F,2017,Chloe,131
AL,F,2017,Brooklyn,130
AL,F,2017,Mary,128
AL,F,2017,Addison,122
AL,F,2017,Emily,122
AL,F,2017,Lillian,121
AL,F,2017,Caroline,116
AL,F,2017,Layla,116
AL,F,2017,Zoey,116
AL,F,2017,Skylar,113
AL,F,2017,Sadie,109
AL,F,2017,Aubrey,102
AL,F,2017,Kinsley,102
AL,F,2017,Scarlett,100
AL,F,2017,Savannah,91
AL,F,2017,Anna,89
AL,F,2017,Lily,89
AL,F,2017,Madelyn,86
AL,F,2017,Riley,86
AL,F,2017,Aubree,85
AL,F,2017,Khloe,84
AL,F,2017,Lucy,84
AL,F,2017,Ryleigh,84
AL,F,2017,Stella,83
AL,F,2017,Mia,82
AL,F,2017,Nevaeh,81
AL,F,2017,Serenity,80
